DATE	TIME	FIELD
02.06.2025	05:00:00.998	55152.024
02.06.2025	05:00:20.998	55152.483
02.06.2025	05:00:41.001	55152.885
02.06.2025	05:01:01.001	55153.173
02.06.2025	05:01:21.001	55153.31
02.06.2025	05:01:41.001	55153.473
02.06.2025	05:02:01.001	55153.65
02.06.2025	05:02:21.001	55153.786
02.06.2025	05:02:41.001	55154.053
02.06.2025	05:03:01.001	55154.397
02.06.2025	05:03:21.001	55154.973
02.06.2025	05:03:41.001	55155.165
02.06.2025	05:04:01.001	55155.113
02.06.2025	05:04:21.001	55155.299
02.06.2025	05:04:41.001	55155.598
02.06.2025	05:05:01.001	55155.848
02.06.2025	05:05:21.001	55156.221
02.06.2025	05:05:41.001	55156.66
02.06.2025	05:06:01.001	55156.815
02.06.2025	05:06:21.001	55157.09
02.06.2025	05:06:41.001	55157.512
02.06.2025	05:07:01.001	55157.799
02.06.2025	05:07:21.001	55158.102
02.06.2025	05:07:41.001	55158.57
02.06.2025	05:08:01.001	55158.657
02.06.2025	05:08:21.001	55158.683
02.06.2025	05:08:41.001	55159.043
02.06.2025	05:09:01.001	55159.33
02.06.2025	05:09:21.001	55159.897
02.06.2025	05:09:41.001	55160.356
02.06.2025	05:10:01.001	55160.843
02.06.2025	05:10:21.001	55161.343
02.06.2025	05:10:41.001	55161.734
02.06.2025	05:11:01.001	55162.328
02.06.2025	05:11:21.001	55162.795
02.06.2025	05:11:41.001	55163.132
02.06.2025	05:12:01.001	55163.437
02.06.2025	05:12:21.001	55163.635
02.06.2025	05:12:41.001	55163.664
02.06.2025	05:13:01.001	55163.859
02.06.2025	05:13:21.001	55164.109
02.06.2025	05:13:41.001	55164.122
02.06.2025	05:14:01.001	55164.178
02.06.2025	05:14:21.001	55164.383
02.06.2025	05:14:41.001	55164.622
02.06.2025	05:15:01.001	55164.784
02.06.2025	05:15:21.001	55165.031
02.06.2025	05:15:41.001	55165.294
02.06.2025	05:16:01.001	55165.521
02.06.2025	05:16:21.001	55165.737
02.06.2025	05:16:41.001	55165.851
02.06.2025	05:17:01.001	55165.9
02.06.2025	05:17:21.001	55166.055
02.06.2025	05:17:41.001	55166.286
02.06.2025	05:18:01.001	55166.321
02.06.2025	05:18:21.001	55166.341
02.06.2025	05:18:41.001	55166.21
02.06.2025	05:19:01.001	55166.052
02.06.2025	05:19:21.001	55165.822
02.06.2025	05:19:41.001	55165.578
02.06.2025	05:20:01.001	55165.484
02.06.2025	05:20:21.001	55165.531
02.06.2025	05:20:41.001	55165.6
02.06.2025	05:21:01.001	55165.735
02.06.2025	05:21:21.001	55165.806
02.06.2025	05:21:41.001	55165.739
02.06.2025	05:22:01.001	55165.722
02.06.2025	05:22:21.001	55165.922
